p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.41931815184616e-64	2.30292920054497	0.882	0.404	2.56641108216822e-60	0	VEGFA
3.73480213170963e-64	1.90804169299916	0.797	0.262	6.75326921455734e-60	0	PDPN
6.79799765871809e-62	2.0219394772914	0.806	0.266	1.22921393664941e-57	0	PTPRZ1
1.181787356175e-61	2.45892506070341	0.865	0.35	2.13690789743564e-57	0	CHI3L1
1.74921521892664e-56	2.09120033017537	0.92	0.454	3.16293095886314e-52	0	SOD2
9.21323585361727e-52	1.70934569443683	0.654	0.192	1.66593730705108e-47	0	CA12
2.2088161587363e-48	1.73505277770564	0.743	0.28	3.99398137822698e-44	0	RDH10
3.18314480358453e-48	2.16928362086083	0.527	0.109	5.75576243384155e-44	0	PTX3
1.88413524416111e-46	1.90468245834539	0.958	0.566	3.40689334849213e-42	0	CLU
2.23559054226247e-46	1.66130499165387	0.789	0.346	4.04239481851899e-42	0	NRCAM
4.35465929044517e-45	1.71191315162783	0.819	0.429	7.87409492898296e-41	0	NAMPT
4.76838155359986e-45	1.61907314425471	0.911	0.582	8.62218752521927e-41	0	JUN
1.04530612365857e-43	1.44830223387962	0.903	0.451	1.89012253279942e-39	0	IGFBP3
1.08710493408015e-43	1.65936172004828	0.831	0.414	1.96570314180374e-39	0	TNC
1.06388748999039e-42	1.66655031508885	0.759	0.334	1.92372135940063e-38	0	ITGB8
5.54447095478457e-42	1.41971559260739	0.827	0.38	1.00255123804415e-37	0	TUBB2B
1.0016691904793e-41	1.41813843322261	0.755	0.335	1.81121823022468e-37	0	NTRK2
2.78352677870078e-41	1.61317234133495	0.831	0.465	5.03317312124675e-37	0	LGALS3
7.3910400917382e-41	1.56018278766557	0.709	0.285	1.3364478693881e-36	0	SPOCD1
8.76421013518416e-37	1.36289680332642	0.751	0.36	1.584744476644e-32	0	DTNA
2.89734963147503e-33	1.45553127181921	0.886	0.591	5.23898760363316e-29	0	MT2A
1.9923502417487e-31	1.28817422183702	0.654	0.298	3.60256770713001e-27	0	TRIM9
1.11429666636782e-30	1.26042481129929	0.646	0.288	2.01487123212629e-26	0	C1orf61
1.38655345256597e-29	1.19119226714246	0.755	0.418	2.50716595292978e-25	0	FAM20C
2.12355758223206e-29	1.83463562950277	0.624	0.284	3.83981682019201e-25	0	LOX
3.02273960928284e-29	1.68313958052691	0.679	0.338	5.46571776150523e-25	0	MT1X
5.12204204562101e-29	1.19375202829029	0.511	0.179	9.26167642689191e-25	0	CADPS
1.78617947533754e-28	1.41347073313111	0.688	0.325	3.22976972730533e-24	0	IGFBP5
2.55192441500081e-28	1.19817495387256	0.532	0.206	4.61438972720446e-24	0	SLC39A14
3.1087407135123e-28	1.43839267781842	0.608	0.271	5.62122495817294e-24	0	TMEM158
2.07313966032246e-27	1.69450015013964	0.599	0.276	3.74865113379506e-23	0	HILPDA
4.94005589939279e-27	1.17310241397309	0.392	0.104	8.93260907728205e-23	0	HAS2
1.09420676600154e-26	1.30992957073594	0.57	0.242	1.97854467428398e-22	0	MT3
4.14935080424363e-25	1.17001169344632	0.722	0.401	7.50285612423333e-21	0	EGR1
6.18177144937869e-25	1.17728046733633	0.502	0.195	1.11778791347666e-20	0	GAP43
1.27139476385451e-23	1.14633172535693	0.768	0.514	2.29893601200172e-19	0	SOCS3
1.35589956811242e-23	1.1533231026177	0.831	0.558	2.45173759906087e-19	0	IGFBP2
9.13935297178498e-23	1.76036617924584	0.456	0.17	1.65257780435816e-18	0	PTGS2
2.93618086856445e-21	1.35114835745116	0.477	0.199	5.30920224653824e-17	0	CHI3L2
6.27088058967953e-20	1.35040140690513	0.511	0.229	1.13390062822585e-15	0	SERPINA3
1.40866149286052e-19	1.16233777630815	0.692	0.432	2.5471417113904e-15	0	AKAP12
9.84792113028802e-19	2.05510190420614	0.321	0.098	1.78070109877868e-14	0	PI3
4.67680023444703e-18	1.24085190748479	0.278	0.078	8.45659018392712e-14	0	LIF
1.31312492855289e-17	1.15750094492441	0.57	0.299	2.37439249580933e-13	0	ID4
2.9047903927535e-15	1.15689496383124	0.574	0.334	5.25244198817688e-11	0	PMP2
1.13267303089369e-14	1.17203524369871	0.283	0.091	2.04809937446197e-10	0	TFPI2
6.56916492329142e-14	1.31272500200721	0.637	0.41	1.18783640142955e-09	0	GFAP
6.87788020646262e-14	1.8207875729777	0.346	0.144	1.24365829893257e-09	0	MMP7
4.51868968487721e-13	1.32356212044995	0.38	0.179	8.17069468819497e-09	0	AQP4
0.000115876279129667	1.14777401124694	0.35	0.251	1	0	TNFAIP2
