p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IL1RN	1.56146111904148e-19	-0.923764953269461	0.075	0.634	2.82343399545081e-15
IRF8	9.8903153640624e-19	0.962891293661316	1	1	1.78836682412976e-14
CLEC4C	1.1557954794056e-18	1.26486196432745	1	0.902	2.08990938586121e-14
SPI1	4.05416274046133e-18	-1.34125599176658	0.864	1	7.33073706730219e-14
FGR	4.58031851382626e-18	-1.53224425862225	0.386	1	8.28213193670064e-14
IFI30	6.70883803743756e-17	-1.91503158198325	0.684	1	1.21309209392946e-12
PTPRS	6.88224639397264e-17	2.70891470065161	0.886	0.317	1.24444779295813e-12
BASP1	7.95532905428365e-17	-1.35049827276521	0.456	0.951	1.43848259959557e-12
BCL11A	1.20540805849859e-16	1.31830890900369	0.987	0.902	2.17961885137716e-12
MNDA	4.00737589165075e-16	-1.03788100426908	0.114	0.634	7.24613708728288e-12
NIBAN3	5.63337965764872e-16	2.42375231831698	0.855	0.268	1.01862770969604e-11
LGALS2	5.72541620840004e-16	-0.540576940853579	0.022	0.39	1.03526975880289e-11
MAPKAPK2	1.46944525531488e-15	1.70500526165588	0.987	0.902	2.65705091066037e-11
MPEG1	1.57781668087424e-15	1.52325963281797	0.991	1	2.8530081223568e-11
CCDC50	1.93213316442834e-15	1.26236128645344	0.996	0.951	3.49368318791933e-11
COTL1	5.94789627706378e-15	-1.11271632425806	0.969	1	1.07549860481867e-10
TXNDC5	7.32987588152101e-15	1.91421524843029	0.912	0.634	1.32538815689663e-10
TLR9	7.64914580454973e-15	1.40112031323454	0.776	0.098	1.38311854437868e-10
LYZ	1.27366376165799e-14	-2.08517937430494	0.912	1	2.30303881382999e-10
IRF7	1.31173773562291e-14	1.34485421354936	1	0.976	2.37188417355334e-10
RUBCNL	1.51861376040843e-14	1.26874710997738	0.952	0.659	2.74595740157053e-10
HERPUD1	1.54225028857099e-14	1.20979826109502	0.996	0.927	2.78869697179406e-10
TMSB4X	1.69373440740301e-14	-0.695011226173877	1	1	3.06261055546612e-10
ALOX5AP	1.8119234660054e-14	1.10802884461937	0.987	0.902	3.27632001123097e-10
CEBPD	2.34405001079742e-14	-1.46077794946502	0.202	0.732	4.23851122952389e-10
IGKC	3.0748494147729e-14	1.56736683166504	0.952	0.61	5.55994271179235e-10
UGCG	3.62257964907733e-14	1.13122106365267	0.996	0.902	6.55034852146163e-10
TLR2	3.65240352506779e-14	-0.660004338258212	0.079	0.537	6.60427605402759e-10
FGL2	3.77751848343248e-14	-1.45796795822148	0.838	1	6.83050892174261e-10
APP	3.9403655342984e-14	0.990401926021449	1	0.976	7.12496895911837e-10
NRP1	5.71498679335303e-14	1.41159437622585	0.886	0.39	1.0333839119741e-09
ITGAX	5.76665626918405e-14	-1.42730745309091	0.333	0.902	1.04272678659386e-09
SERPINF1	6.55242423778159e-14	1.64063976957834	0.978	0.927	1.18480935067567e-09
PLXNA4	8.27824205140955e-14	1.60925810623633	0.93	0.561	1.49687172773588e-09
PLAC8	9.67959322709392e-14	0.938007770359328	1	1	1.75026404732312e-09
MS4A14	1.42525356900787e-13	-0.440213397500973	0.039	0.415	2.57714350348003e-09
MS4A7	1.85060984326264e-13	-0.897899976901071	0.197	0.732	3.3462727185875e-09
TPM2	2.67055440782638e-13	2.09371772358459	0.807	0.22	4.82889648023165e-09
SUSD1	3.12377931927846e-13	1.49730927568857	0.934	0.756	5.64841776511931e-09
GZMB	3.57815792742139e-13	3.38651092807014	0.715	0.073	6.47002516436335e-09
PLCB2	3.91571309866616e-13	-1.02581825017732	0.93	1	7.08039242500815e-09
JCHAIN	3.93400172240799e-13	2.49131458440467	0.763	0.098	7.11346191445813e-09
ZFAT	4.65836348655608e-13	1.60176026616861	0.746	0.122	8.42325285639071e-09
MEFV	5.51948026214763e-13	-0.665774395194152	0.053	0.439	9.98032421001534e-09
FMNL3	5.82232381128467e-13	1.03034732049329	0.978	0.829	1.05279259155649e-08
MZB1	5.98282574818302e-13	2.00836135839336	0.746	0.146	1.08181455178645e-08
PLD4	6.17188070614905e-13	0.819246131779835	0.996	1	1.11599946928587e-08
LRRC26	8.22562038602932e-13	1.31455748391451	0.763	0.146	1.48735667820182e-08
VDR	1.47593731444025e-12	-0.624941920172467	0.07	0.488	2.66878985197086e-08
VIM	1.95782524574125e-12	-0.744369757393967	1	1	3.54013960934934e-08
RIN3	2.37528160235617e-12	-0.920664707566503	0.816	1	4.29498419338042e-08
ABI3	2.44471917151275e-12	-1.11070426794878	0.412	0.902	4.42054120592936e-08
TNFAIP2	2.61150247591581e-12	-1.28610547292112	0.509	0.951	4.72211877695097e-08
SLC15A4	3.6428094581668e-12	1.50133768602167	0.838	0.39	6.58692806225721e-08
IGHM	4.69582070210568e-12	1.31628852385159	0.947	0.634	8.49098299354749e-08
FBLN2	6.3647823937103e-12	-0.838835746528625	0.215	0.732	1.1508799524307e-07
GAPT	8.98452472929258e-12	1.14411887505277	0.961	0.732	1.62458176155068e-07
IL3RA	1.33384991826056e-11	0.900551262395031	0.996	0.902	2.41186742219874e-07
EHBP1L1	1.69505854751431e-11	-0.683546571028774	0.961	1	3.06500486561537e-07
CLEC10A	1.92260315790283e-11	-1.89517506482241	0.57	0.878	3.4764510301199e-07
B4GALT1	1.95996952054256e-11	1.27037326162678	0.912	0.732	3.54401688704506e-07
CIITA	2.09156913855412e-11	-0.73434702372513	0.991	1	3.78197531633356e-07
MYO1F	4.40832542357523e-11	-0.778126168493772	0.947	1	7.97113403090873e-07
LST1	5.24340316845844e-11	-1.08288637276443	0.697	0.951	9.48112160920656e-07
PACSIN1	5.45508012710749e-11	1.53989121854356	0.645	0.049	9.86387588583576e-07
GPR35	5.97381475846207e-11	-0.537269107586476	0.092	0.488	1.08018518462511e-06
TSPAN13	6.29390402927605e-11	1.12915041011343	0.93	0.634	1.1380637265737e-06
CD2AP	6.79425638945264e-11	0.891612694687352	0.982	0.902	1.22853744034083e-06
JUNB	7.15036300841156e-11	-1.3893619813606	0.917	1	1.29292863918098e-06
SPIB	7.15036300841156e-11	1.0749553548284	0.952	0.805	1.29292863918098e-06
TCF4	8.32985483499898e-11	0.763342581087626	0.991	1	1.50620435126452e-06
BLNK	8.51274601494089e-11	0.836735375937698	0.996	0.976	1.53927473442161e-06
APOL3	9.54438263751376e-11	-0.388610543334508	0.044	0.366	1.72581526851524e-06
PFKFB2	1.00229321729991e-10	1.0412580201917	0.851	0.488	1.8123465955217e-06
RNASE6	1.22945717323697e-10	0.863917428658891	1	0.927	2.2231044606471e-06
SETBP1	1.4373796414067e-10	1.37576596110475	0.724	0.195	2.5990698675916e-06
TIMP1	1.47123410715855e-10	-0.974845358169324	0.386	0.829	2.66028551256409e-06
ABHD15	1.88131891791611e-10	1.18489380269994	0.728	0.317	3.40180086737591e-06
SEL1L3	2.23465213233796e-10	0.800574940022474	0.978	0.854	4.04069798569349e-06
ADAM33	2.97743816601576e-10	-1.34171545271896	0.268	0.732	5.38380369178969e-06
USP24	3.6018724679193e-10	0.819979394959992	0.965	0.854	6.51290579649168e-06
SCAMP5	3.83641563238264e-10	1.14943054470259	0.627	0.098	6.93700674647429e-06
TTC39B	4.44922159404995e-10	-0.211650093225531	0.013	0.244	8.04508248636113e-06
RABGAP1L	4.74200330192637e-10	0.82355344343781	1	1	8.57449037054326e-06
UBE2J1	4.90808863948376e-10	0.803710629942659	0.978	0.951	8.87480587791454e-06
AKAP7	5.45123945187711e-10	-0.199013416757543	0.009	0.22	9.85693117688419e-06
APOBR	5.61466261253082e-10	-0.869426081232186	0.829	1	1.01524329359782e-05
CCR2	6.58811331960845e-10	0.987570246768205	0.93	0.683	1.1912626504516e-05
ACTG1	6.84501770949579e-10	-0.513518192146932	0.996	1	1.23771610223103e-05
TBC1D8	7.40044964337198e-10	1.00626274852453	0.82	0.488	1.33814930451452e-05
APLP2	8.35499065793506e-10	-0.798885768091534	0.482	0.902	1.51074941076782e-05
ATP8B4	8.51888092198538e-10	-0.802756011690271	0.066	0.39	1.5403840483134e-05
ASAP1	1.13127071013671e-09	-0.843472540080917	0.496	0.878	2.0455636980692e-05
RARA	1.42190760942785e-09	-0.893644829578238	0.807	0.976	2.57109333936745e-05
ACTB	1.59513345806771e-09	-0.524753656954373	1	1	2.88432031887803e-05
ITCH	1.75174645084231e-09	0.775523428335909	0.917	0.78	3.16750793241306e-05
TMSB10	1.80090660268748e-09	-0.44655910057734	1	1	3.2563993189795e-05
LY86	1.9292185636505e-09	-0.71175269841988	0.303	0.805	3.48841300679284e-05
CFD	2.09285907509841e-09	-0.853367032760056	0.325	0.78	3.78430777959294e-05
GGA2	2.15841013698973e-09	0.84201739417045	0.987	0.927	3.90283720970483e-05
HAMP	2.21472609320637e-09	-0.782878838586246	0.171	0.585	4.00466772173577e-05
CSTB	2.27669035177672e-09	-0.766106198931251	0.417	0.829	4.11671149408267e-05
